OBJECTID,Address,Place_Type,long,lat
5023,1782 Barberry Ln,SF,-121.815301,37.31456
5035,1782 Cortez Ave,SF,-121.83869,37.338107
5046,1782 Home Gate Dr,SF,-121.818777,37.339813
5051,1782 Karl St,SF,-121.826545,37.337289
5063,1782 Midfield Ave,SF,-121.839548,37.328212
5067,1782 Mt Kenya Dr,SF,-121.798607,37.35097
5106,1782 Quimby Rd,MH,-121.819893,37.329611
5110,1782 Seaview Dr,SF,-121.83354,37.333467
5111,1782 Sundown Ln,SF,-121.814443,37.343294
5184,1783 Monrovia Dr,SF,-121.815086,37.313639
5186,1783 Orlando Dr,SF,-121.834398,37.331829
5190,1783 Quimby Rd,MH,-121.82015,37.329747
5194,1783 Seaview Dr,SF,-121.833926,37.333842
5236,1784 Home Gate Dr,SF,-121.818734,37.339745
5254,1784 Monrovia Dr,SF,-121.814443,37.313536
5289,1784 Orlando Dr,SF,-121.833926,37.332068
5294,1784 Quimby Rd,MH,-121.820279,37.329679
5299,1784 S King Rd,SF,-121.83457,37.331556
5315,1785 Bermuda Way,SF,-121.833626,37.332238
5324,1785 Cathay Dr,SF,-121.830321,37.334695
5335,1785 Foley Ave,SF,-121.838132,37.329372
5337,1785 Hopkins Dr,SF,-121.829635,37.335037
5350,1785 Mt Pleasant Rd,SF,-121.798478,37.351209
5355,1785 Quimby Rd,MH,-121.820408,37.329577
5363,1785 S King Rd,SF,-121.834999,37.331112
5382,1786 Cathay Dr,SF,-121.829935,37.3349
5384,1786 Darwin Way,SF,-121.832853,37.332989
5392,1786 Hillmont Ave,SF,-121.815129,37.343703
5393,1786 Home Gate Dr,SF,-121.818648,37.339677
5395,1786 Kyra Cir,SF,-121.815,37.31398
5411,1786 Mt Kenya Dr,SF,-121.798564,37.350867
5415,1786 Quimby Rd,MH,-121.820537,37.329474
5475,1787 Chaucer Dr,SF,-121.844076,37.343754
5481,1787 Crucero Dr,MF,-121.842895,37.327256
5482,1787 Darwin Way,SF,-121.833197,37.333399
5495,1787 Hillmont Ave,SF,-121.815558,37.343396
5500,1787 Kyra Cir,SF,-121.815301,37.314253
5529,1787 Mt Pleasant Rd,SF,-121.798264,37.35114
5532,1787 Mt Rushmore Dr,SF,-121.802855,37.348923
5539,1787 Quimby Rd,MH,-121.820708,37.329406
5541,1787 Rigoletto Dr,SF,-121.821266,37.319714
5544,1787 Tampa Way,SF,-121.835729,37.330669
5545,1787 Terilyn Ave,SF,-121.839248,37.328382
5560,1788 Barberry Ln,SF,-121.815172,37.314663
5561,1058 S White Rd,RL,-121.819464,37.35694
5597,1788 Home Gate Dr,SF,-121.818562,37.339575
5604,1788 Kyra Cir,SF,-121.814872,37.314048
5607,1788 Loyola Dr,SF,-121.834527,37.334729
5616,1788 Parkdale Way,SF,-121.810323,37.345511
5619,1788 Quimby Rd,MH,-121.821738,37.328963
5624,1788 S Capitol Ave,SF,-121.819035,37.342679
5625,1788 Sundown Ln,SF,-121.814614,37.343225
5626,1788 Tampa Way,SF,-121.835299,37.330976
5627,1788 Terilyn Ave,SF,-121.838819,37.328655
5635,1788 Woodridge Way,SF,-121.811095,37.34517
5659,1789 Cathay Dr,SF,-121.830235,37.334559
5670,1789 Everglade Ave,SF,-121.838089,37.338107
5678,1789 Kyra Cir,SF,-121.815215,37.314322
5682,1789 Loyola Dr,SF,-121.834913,37.335105
5687,1789 Mt Pleasant Rd,SF,-121.798135,37.351072
5691,1789 Ocala Ave,SF,-121.832639,37.332784
5692,1789 Parkdale Way,SF,-121.810795,37.345272
5694,1789 Quimby Rd,MH,-121.821867,37.329065
5699,1789 S White Rd,SF,-121.809765,37.345409
5827,1790 Cathay Dr,SF,-121.829806,37.334798
5835,1790 Cunningham Ave,SF,-121.830407,37.328826
5846,1790 Florida Ave,SF,-121.8359,37.330396
5851,1790 Home Gate Dr,SF,-121.81852,37.339472
5853,1790 June Ave,SF,-121.83766,37.329645
5855,1790 Karl St,SF,-121.826416,37.337152
5856,1790 La Porte Ave,SF,-121.833969,37.334115
5866,1790 Mt Kenya Dr,SF,-121.798435,37.350799
5875,1790 Quimby Rd,MH,-121.821953,37.329167
5881,1790 Waverly Ave,SF,-121.827703,37.326335
5897,1791 Biscayne Way,SF,-121.835643,37.335548
5925,1791 Florida Ave,SF,-121.836372,37.330089
5932,1791 La Porte Ave,SF,-121.834312,37.334525
5951,1791 Lido Way,MF,-121.843196,37.342679
5961,1791 Monrovia Dr,SF,-121.815,37.313673
5963,1791 Mt Rushmore Dr,SF,-121.802727,37.348821
5970,1791 Quimby Rd,MH,-121.822082,37.32927
5973,1791 S Capitol Ave,SF,-121.818734,37.342338
5990,1792 Biscayne Way,SF,-121.835214,37.335207
6013,1792 Cortez Ave,SF,-121.838604,37.338176
6042,1792 Midfield Ave,SF,-121.839419,37.328109
6043,1792 Monrovia Dr,SF,-121.814314,37.313639
6046,1792 Quimby Rd,MH,-121.82221,37.329372
6056,1792 Seaview Dr,SF,-121.833411,37.333569
6088,1793 Cathay Dr,SF,-121.830107,37.334456
6089,1793 Chaucer Dr,SF,-121.843947,37.343839
6094,1793 Cortez Ave,SF,-121.838861,37.338415
6095,1793 Crucero Dr,MF,-121.84281,37.327188
6110,1793 Lido Way,MF,-121.843239,37.342679
6120,1793 Mt Pleasant Rd,SF,-121.798049,37.351004
6124,1793 Quimby Rd,MH,-121.822296,37.329474
6128,1793 Seaview Dr,SF,-121.833797,37.333945
6160,1794 Clarice Dr,SF,-121.825472,37.323434
6163,1794 Cortez Ave,SF,-121.838518,37.33821
6166,1794 Darwin Way,SF,-121.832725,37.333092
6183,1794 Kyra Cir,SF,-121.814786,37.314117
6199,1794 Parkdale Way,SF,-121.81028,37.345375
6204,1794 Quimby Rd,MH,-121.822511,37.329611
6209,1794 S King Rd,SF,-121.834484,37.331419
6210,1794 Sundown Ln,SF,-121.814829,37.343157
6217,1794 Woodridge Way,SF,-121.811009,37.345034
6220,1059 McGinness Ave,SF,-121.826201,37.353597
6228,1795 Bermuda Way,SF,-121.83354,37.332102
6245,1795 Cortez Ave,SF,-121.838776,37.338483
6252,1795 Darwin Way,SF,-121.833068,37.333467
6257,1795 Foley Ave,SF,-121.838003,37.329474
6270,1795 Kyra Cir,SF,-121.815129,37.31439
6288,1795 Lido Way,MF,-121.843239,37.342679
